county_name,FIPS,date,Series,Permits,month_year
Cannon,47015,2023-01-01,Single-Family Units,2.0,Jan 2023
Cannon,47015,2023-02-01,Single-Family Units,4.0,Feb 2023
Cannon,47015,2023-03-01,Single-Family Units,4.0,Mar 2023
Cannon,47015,2023-04-01,Single-Family Units,9.0,Apr 2023
Cannon,47015,2023-05-01,Single-Family Units,10.0,May 2023
Cannon,47015,2023-06-01,Single-Family Units,10.0,Jun 2023
Cannon,47015,2023-07-01,Single-Family Units,9.0,Jul 2023
Cannon,47015,2023-08-01,Single-Family Units,11.0,Aug 2023
Cannon,47015,2023-09-01,Single-Family Units,9.0,Sep 2023
Cannon,47015,2023-10-01,Single-Family Units,12.0,Oct 2023
Cannon,47015,2023-11-01,Single-Family Units,8.0,Nov 2023
Cannon,47015,2023-12-01,Single-Family Units,8.0,Dec 2023
Cannon,47015,2023-01-01,Multi-Family Units,0.0,Jan 2023
Cannon,47015,2023-02-01,Multi-Family Units,0.0,Feb 2023
Cannon,47015,2023-03-01,Multi-Family Units,0.0,Mar 2023
Cannon,47015,2023-04-01,Multi-Family Units,0.0,Apr 2023
Cannon,47015,2023-05-01,Multi-Family Units,0.0,May 2023
Cannon,47015,2023-06-01,Multi-Family Units,0.0,Jun 2023
Cannon,47015,2023-07-01,Multi-Family Units,0.0,Jul 2023
Cannon,47015,2023-08-01,Multi-Family Units,0.0,Aug 2023
Cannon,47015,2023-09-01,Multi-Family Units,0.0,Sep 2023
Cannon,47015,2023-10-01,Multi-Family Units,0.0,Oct 2023
Cannon,47015,2023-11-01,Multi-Family Units,0.0,Nov 2023
Cannon,47015,2023-12-01,Multi-Family Units,0.0,Dec 2023
Cannon,47015,2024-01-01,Single-Family Units,16.0,Jan 2024
Cannon,47015,2024-02-01,Single-Family Units,4.0,Feb 2024
Cannon,47015,2024-03-01,Single-Family Units,21.0,Mar 2024
Cannon,47015,2024-04-01,Single-Family Units,19.0,Apr 2024
Cannon,47015,2024-05-01,Single-Family Units,10.0,May 2024
Cannon,47015,2024-01-01,Multi-Family Units,0.0,Jan 2024
Cannon,47015,2024-02-01,Multi-Family Units,0.0,Feb 2024
Cannon,47015,2024-03-01,Multi-Family Units,0.0,Mar 2024
Cannon,47015,2024-04-01,Multi-Family Units,0.0,Apr 2024
Cannon,47015,2024-05-01,Multi-Family Units,0.0,May 2024
Cheatham,47021,2023-01-01,Single-Family Units,9.0,Jan 2023
Cheatham,47021,2023-02-01,Single-Family Units,20.0,Feb 2023
Cheatham,47021,2023-03-01,Single-Family Units,17.0,Mar 2023
Cheatham,47021,2023-04-01,Single-Family Units,16.0,Apr 2023
Cheatham,47021,2023-05-01,Single-Family Units,10.0,May 2023
Cheatham,47021,2023-06-01,Single-Family Units,18.0,Jun 2023
Cheatham,47021,2023-07-01,Single-Family Units,36.0,Jul 2023
Cheatham,47021,2023-08-01,Single-Family Units,23.0,Aug 2023
Cheatham,47021,2023-09-01,Single-Family Units,12.0,Sep 2023
